idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
245,1774840430.4812403,map,base_footprint,7.692980660260265,3.00424212893211,0.0,0.0,0.0,-0.6299732139195915,0.7766168616144132,-1.3630374407065633
246,1774840435.9682813,map,base_footprint,7.703950463686274,2.9772875776848093,0.0,0.0,0.0,-0.6707621410797574,0.7416725356207412,-1.4704718167929574
247,1774840438.2282035,map,base_footprint,7.697810404887894,2.9486216965488237,0.0,0.0,0.0,-0.7051566231332655,0.7090515755932637,-1.5652880252374421
248,1774840440.482781,map,base_footprint,7.700620969267939,2.926722953423722,0.0,0.0,0.0,-0.7367360466529673,0.6761804474858445,-1.6564610676049503
249,1774840442.3681436,map,base_footprint,7.699298469535559,2.8883105666452615,0.0,0.0,0.0,-0.7608952776641623,0.6488747000988537,-1.729383479978225
250,1774840445.1201267,map,base_footprint,7.6947917102850765,2.8739585978350357,0.0,0.0,0.0,-0.7571171858517883,0.6532790880533897,-1.7177778424715175
251,1774840446.8827243,map,base_footprint,7.691748809846273,2.821187233461976,0.0,0.0,0.0,-0.7756513074662246,0.631161666473762,-1.775492720600961
252,1774840449.7025955,map,base_footprint,7.688606905520279,2.8028303229440543,0.0,0.0,0.0,-0.7647020139274929,0.644384070174951,-1.741157535895327
253,1774840451.8922415,map,base_footprint,7.6841553733583545,2.758198552267059,0.0,0.0,0.0,-0.7761916609280327,0.6304970305289167,-1.7772058730725533
254,1774840454.1912227,map,base_footprint,7.67087700782032,2.7140322931492236,0.0,0.0,0.0,-0.7635179117698228,0.6457866508427138,-1.7374863881753826
255,1774840457.0631723,map,base_footprint,7.664456882237668,2.6748905808899184,0.0,0.0,0.0,-0.7551949950953436,0.6555002054789488,-1.7119030876252006
256,1774840459.109797,map,base_footprint,7.666342018761452,2.6165874493087493,0.0,0.0,0.0,-0.754627734825025,0.6561531694908221,-1.7101731786545002
257,1774840461.4208126,map,base_footprint,7.6553131767764455,2.572678417168013,0.0,0.0,0.0,-0.757177319293594,0.6532093899718273,-1.7179619495425698
258,1774840463.7170644,map,base_footprint,7.64961696896586,2.5048559330454676,0.0,0.0,0.0,-0.7678855475620056,0.640587063438998,-1.7510675705651157
259,1774840465.491945,map,base_footprint,7.636117781181393,2.43684668305005,0.0,0.0,0.0,-0.7779077442557893,0.6283785017223853,-1.7826586194984089
260,1774840467.5384748,map,base_footprint,7.617085204474875,2.3785391131991194,0.0,0.0,0.0,-0.7842312846260597,0.6204686069526482,-1.8029124561257186
261,1774840469.3828247,map,base_footprint,7.611602213604904,2.3293808616548155,0.0,0.0,0.0,-0.7762107884381384,0.6304734823228046,-1.7772665485916375
262,1774840471.3848608,map,base_footprint,7.613790118195969,2.273389414106023,0.0,0.0,0.0,-0.7644923679629864,0.644632778662663,-1.7405069750811775
263,1774840473.4178963,map,base_footprint,7.601429157462208,2.22344872478408,0.0,0.0,0.0,-0.766247949764012,0.642545001912277,-1.7459625717794092
264,1774840475.6599731,map,base_footprint,7.595708536845232,2.15854340664552,0.0,0.0,0.0,-0.7570158521788244,0.6533965102064506,-1.7174676394711836
265,1774840477.7782063,map,base_footprint,7.583712055237045,2.0969255731479333,0.0,0.0,0.0,-0.7446441940144755,0.6674616276015665,-1.6800032182903337
266,1774840480.3366082,map,base_footprint,7.583164273622443,2.0478041991772895,0.0,0.0,0.0,-0.7386423158516353,0.6740975665534872,-1.6621081059552991
267,1774840482.5347064,map,base_footprint,7.574521337671862,1.97364385147154,0.0,0.0,0.0,-0.7234370590822878,0.6903903399862793,-1.6175356994071595
268,1774840485.6972122,map,base_footprint,7.575359986972736,1.9207318106610278,0.0,0.0,0.0,-0.7314029313433861,0.68194556382625,-1.6407538715027818
269,1774840489.0116503,map,base_footprint,7.57483579836067,1.864629001215688,0.0,0.0,0.0,-0.7352967674908674,0.6777452793767592,-1.6522089034237448
270,1774840493.1498384,map,base_footprint,7.576168224317883,1.8219020847268346,0.0,0.0,0.0,-0.7395895093184133,0.6730582127172572,-1.6649205299533805
271,1774840494.734606,map,base_footprint,7.573563508460897,1.7714046782976427,0.0,0.0,0.0,-0.7224564018169457,0.6914164790296163,-1.6146969318248705
272,1774840496.9716098,map,base_footprint,7.564304348664105,1.6995312412668107,0.0,0.0,0.0,-0.7426460140557252,0.6696841776592484,-1.6740257745037241
273,1774840499.3009062,map,base_footprint,7.556382081458224,1.6248280874273144,0.0,0.0,0.0,-0.7615977199947096,0.6480500851777277,-1.7315499657138167
274,1774840501.4039404,map,base_footprint,7.5522929468025515,1.5832674290359716,0.0,0.0,0.0,-0.758035974961154,0.6522127418754502,-1.7205929928588424
275,1774840504.3829408,map,base_footprint,7.542531956284921,1.5261107117255004,0.0,0.0,0.0,-0.7574611354352895,0.65288025571699,-1.7188311582930258
276,1774840506.7042472,map,base_footprint,7.519389896847859,1.4545972061774128,0.0,0.0,0.0,-0.808127070042542,0.5890081821710601,-1.881930680094717
277,1774840510.234626,map,base_footprint,7.514722378847496,1.403285770735047,0.0,0.0,0.0,-0.8155723570260084,0.5786551049243764,-1.9074352452171666
278,1774840512.7121117,map,base_footprint,7.490972677251775,1.3422901023466425,0.0,0.0,0.0,-0.8361241197959403,0.5485402959632628,-1.9803577779723704
279,1774840515.2695053,map,base_footprint,7.462688868947347,1.2797274850862017,0.0,0.0,0.0,-0.8408570773323525,0.5412572175039279,-1.9977295473939354
280,1774840518.06803,map,base_footprint,7.4436382695122845,1.2543514566265477,0.0,0.0,0.0,-0.8489441506707369,0.5284825721269727,-2.0279683750403557
281,1774840520.3544705,map,base_footprint,7.412490586026808,1.208947910272959,0.0,0.0,0.0,0.8751553805729173,-0.48384197818530816,-2.1315137247839
282,1774840522.6456547,map,base_footprint,7.382037278524543,1.1503635469507034,0.0,0.0,0.0,0.8904672261242212,-0.4550473812677479,-2.196741807886899
283,1774840524.9355874,map,base_footprint,7.353672675762061,1.1008660354302227,0.0,0.0,0.0,0.9015986547273803,-0.43257353801842524,-2.246902162915099
284,1774840527.1853507,map,base_footprint,7.299587536901917,1.0399003305100507,0.0,0.0,0.0,0.9209080705947478,-0.3897798423641981,-2.340807624008452
285,1774840529.3895435,map,base_footprint,7.264366707581859,0.9876878375899592,0.0,0.0,0.0,0.9381730496491726,-0.3461666201585171,-2.4346286488434368
286,1774840531.7003617,map,base_footprint,7.213997430520347,0.9446547622811698,0.0,0.0,0.0,0.9521580773213432,-0.30560594855421774,-2.520443135089127
287,1774840533.8561285,map,base_footprint,7.149576530184994,0.9065660885816359,0.0,0.0,0.0,0.9628700316624526,-0.26996537208750954,-2.594878517469352
288,1774840536.200786,map,base_footprint,7.116903660895127,0.8705311597885366,0.0,0.0,0.0,0.9652691354873667,-0.2612575282656398,-2.612943156722142
289,1774840550.284668,map,base_footprint,7.008379883580521,0.8292009791170475,0.0,0.0,0.0,0.9807419263911713,-0.1953081509270268,-2.7484493692121594
290,1774840552.4378555,map,base_footprint,6.939482156153506,0.8106007230944734,0.0,0.0,0.0,0.987064455535222,-0.1603239240380415,-2.8195550269979757
291,1774840554.8424456,map,base_footprint,6.850925449769321,0.7762481834831799,0.0,0.0,0.0,0.992145301107948,-0.12509077299872812,-2.890754009032793
292,1774840557.1711335,map,base_footprint,6.789635115400803,0.7623162905394034,0.0,0.0,0.0,0.998234366966385,-0.05939822057284797,-3.022726246054028
293,1774840559.4977674,map,base_footprint,6.730820656877839,0.7387479113231024,0.0,0.0,0.0,0.9998804818440772,-0.015460337229698952,-3.1106707472108366
294,1774840561.9647064,map,base_footprint,6.651656035641728,0.7415957371798998,0.0,0.0,0.0,0.9996475061167537,0.026549265800674907,3.0884878821394315
295,1774840564.264593,map,base_footprint,6.585404378633344,0.7515071052558555,0.0,0.0,0.0,0.9991466255326676,0.04130400327671995,3.058961140491007
296,1774840566.697453,map,base_footprint,6.512885943020935,0.7512075434656977,0.0,0.0,0.0,0.999282877534026,0.03786463610437607,3.0658452737993156
297,1774840570.447733,map,base_footprint,6.475817238137663,0.7455903535458517,0.0,0.0,0.0,0.9993668245594162,0.03558019069691992,3.0704172493891084
298,1774840579.4727097,map,base_footprint,6.426642122488145,0.7509833232695253,0.0,0.0,0.0,0.9985554054906493,0.053731761234907374,3.034077354128535
299,1774840581.9456828,map,base_footprint,6.405482940609904,0.7584072459821322,0.0,0.0,0.0,0.9957966926199362,0.09159119481258197,2.95815317436528
300,1774840584.4184713,map,base_footprint,6.388842274849963,0.7701164892431551,0.0,0.0,0.0,0.9938052284512188,0.11113580837435266,2.918860922555293
301,1774840586.8202078,map,base_footprint,6.340050441124594,0.7584622400115814,0.0,0.0,0.0,0.9934378263637256,0.11437344599913138,2.912344085568785
302,1774840588.9322205,map,base_footprint,6.3064553181943275,0.7783560202352287,0.0,0.0,0.0,0.990893335401389,0.134649165824042,2.8714738626420364
303,1774840591.1854677,map,base_footprint,6.253991119540011,0.7651200382107606,0.0,0.0,0.0,0.9925844551779898,0.12155697980376678,2.8978759649556305
304,1774840594.247805,map,base_footprint,6.211737537102089,0.811174911853477,0.0,0.0,0.0,0.992790500522957,0.11986251320315436,2.901289861528306
305,1774840596.7822566,map,base_footprint,6.162377590641428,0.8123867378651167,0.0,0.0,0.0,0.9914480522919396,0.1305019525007938,2.879842163477633
306,1774840599.3716714,map,base_footprint,6.132329782713562,0.817858889319329,0.0,0.0,0.0,0.9864388157829206,0.16412940844586363,2.8118418810478314
307,1774840609.6014717,map,base_footprint,6.0776976446754425,0.8458051565472686,0.0,0.0,0.0,0.9928275152492688,0.11955553087985053,2.9019082731632113
308,1774840611.9461212,map,base_footprint,6.039552110142493,0.8582193490005403,0.0,0.0,0.0,0.9907355145118963,0.13580552376412441,2.869139706457583
309,1774840614.3696113,map,base_footprint,6.001290615413677,0.8219269413102162,0.0,0.0,0.0,0.9842451995348251,0.17680890020768802,2.786106011262573
310,1774840619.8774724,map,base_footprint,5.9647677435719135,0.8654727501449253,0.0,0.0,0.0,0.9797597527299209,0.20017698901373304,2.738515528034847
311,1774840622.8842502,map,base_footprint,5.939040128954681,0.8831093617809589,0.0,0.0,0.0,0.9802086432400605,0.19796720869244944,2.7430253546004186
312,1774840625.4125917,map,base_footprint,5.889180239286849,0.8786434238817269,0.0,0.0,0.0,0.9763910421106554,0.21601049253697918,2.706139378313891
313,1774840628.137232,map,base_footprint,5.822387265498177,0.894534887677531,0.0,0.0,0.0,0.9723037806091995,0.23372068417890937,2.6697874490886577
314,1774840630.7851746,map,base_footprint,5.784981993460881,0.9397373243373988,0.0,0.0,0.0,0.974074850906659,0.22622595967565262,2.6851897707962946
315,1774840633.4469807,map,base_footprint,5.742831623697091,0.9608677599681376,0.0,0.0,0.0,0.9726622373218486,0.2322244002857061,2.6728646927715234
316,1774840635.916411,map,base_footprint,5.693628109818347,0.9816165316390805,0.0,0.0,0.0,0.9714311835326959,0.2373214184608413,2.662377529054293
317,1774840646.3236556,map,base_footprint,5.56380862804363,1.0443532022514215,0.0,0.0,0.0,0.9899436214850369,0.14146245537629426,2.8577155113355612
318,1774840647.8774323,map,base_footprint,5.520627964592003,1.0549372936572368,0.0,0.0,0.0,0.9972785431751557,0.07372589316135178,2.9940069602634876
319,1774840651.914525,map,base_footprint,5.443660852886121,1.0638750315370455,0.0,0.0,0.0,0.9984054341099684,0.05644988166228087,3.02863284326006
320,1774840654.5487697,map,base_footprint,5.407436608499904,1.0700469880698669,0.0,0.0,0.0,0.9953878913850256,0.09593198467702249,2.9494331731701804
321,1774840656.7892315,map,base_footprint,5.357677764362347,1.0767406722845134,0.0,0.0,0.0,0.9891684430381562,0.1467848469613598,2.8469584069763103
