idx,t_sec,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
121,1774840041.00155,map,base_footprint,8.97753018869552,0.114262417071005,0,0,0,0.994594112830667,-0.103839061641459,-2.93353949104613
122,1774840043.23782,map,base_footprint,8.91385493740929,0.0792257610889016,0,0,0,0.995988983824158,-0.0894759414642963,-2.96240112649807
123,1774840045.43142,map,base_footprint,8.88041049922962,0.0845084816297211,0,0,0,0.998155959674544,-0.0607015664228753,-3.0201148415657
124,1774840047.30292,map,base_footprint,8.8180237015594,0.0761963542491571,0,0,0,0.999934208358236,-0.0114707870256965,-3.11865057640389
125,1774840049.68236,map,base_footprint,8.77325756274954,0.082585008265113,0,0,0,0.999815849954294,-0.0191902626395195,-3.10320977221204
126,1774840052.0351,map,base_footprint,8.67533871691588,0.0822689189443117,0,0,0,0.999985192674441,-0.00544191435630875,-3.13070877115673
127,1774840054.2951,map,base_footprint,8.62039811982518,0.0746446798028739,0,0,0,0.999998294063946,-0.00184712457589883,-3.13789840233728
128,1774840056.42222,map,base_footprint,8.53697103279585,0.061676645110663,0,0,0,0.999090182755236,-0.042647470289678,-3.05627183599024
129,1774840058.89466,map,base_footprint,8.49894658379244,0.0606025336945182,0,0,0,0.997340576048301,-0.0728819275790836,-2.9956994448562
130,1774840061.1465,map,base_footprint,8.41558751912745,0.0524040029324585,0,0,0,0.998154024966753,-0.0607333717380369,-3.02005111335635
131,1774840063.88949,map,base_footprint,8.35507614159582,0.0320444442541463,0,0,0,0.999989612355329,0.00455797997350851,3.13247666207819
132,1774840066.84987,map,base_footprint,8.38792374157555,0.0476383375726566,0,0,0,0.999714181469337,-0.0239072242030325,-3.09377364924439
133,1774840069.50402,map,base_footprint,8.30616898704732,0.0254039001635165,0,0,0,0.999994916514626,0.00318856470953557,3.13521551336469
134,1774840071.96507,map,base_footprint,8.24495730583646,0.0129324146890532,0,0,0,0.998074427616549,0.0620277110483595,3.01745754421398
135,1774840074.43787,map,base_footprint,8.17688200540238,0.0541496421782118,0,0,0,0.994604096712314,0.103743389201833,2.93373187497066
136,1774840076.73178,map,base_footprint,8.11706469418801,0.0760921406676024,0,0,0,0.980753710346591,0.19524896834912,2.74857005788825
137,1774840079.12982,map,base_footprint,8.07652578386959,0.111560724756786,0,0,0,0.97520179490502,0.221317552882793,2.69526201257742
138,1774840081.51049,map,base_footprint,7.9940740952435,0.0978495316463667,0,0,0,0.95702267685711,0.29001309622369,2.55311160946859
139,1774840083.66906,map,base_footprint,7.96523830203579,0.161900304781886,0,0,0,0.951359679566313,0.308082391732281,2.51523920826064
140,1774840085.88155,map,base_footprint,7.91597414633749,0.196588254315652,0,0,0,0.944849777696562,0.327504042092243,2.47427122093167
141,1774840088.19662,map,base_footprint,7.85180064087166,0.256010443773078,0,0,0,0.922280319206203,0.386521684779657,2.34787831566214
142,1774840090.64883,map,base_footprint,7.80415916833571,0.30249389198428,0,0,0,0.914251345826593,0.405147475191768,2.30731238976963
143,1774840092.75476,map,base_footprint,7.77354531306551,0.355939583612523,0,0,0,0.901471767042309,0.43283790641026,2.24631567802411
144,1774840095.14115,map,base_footprint,7.72224190859563,0.395292123517289,0,0,0,0.882483456275446,0.47034343771349,2.16223283456018
145,1774840097.60502,map,base_footprint,7.6721103393347,0.467782190273735,0,0,0,0.860955406933523,0.50868043728055,2.07428980851637
146,1774840100.13748,map,base_footprint,7.64256685088004,0.532841575178236,0,0,0,0.841679065712495,0.539978101723895,2.00077046996525
147,1774840102.45467,map,base_footprint,7.59926746139327,0.587667626480723,0,0,0,0.815799261779758,0.578335166213851,1.90821971076195
148,1774840105.34787,map,base_footprint,7.57998648495885,0.645743276455675,0,0,0,0.791192936371446,0.611566625508561,1.82551433461658
149,1774840110.81357,map,base_footprint,7.56112185352739,0.726133454517737,0,0,0,0.775691579318715,0.631112172100996,1.77562033745
150,1774840114.43175,map,base_footprint,7.55559811982783,0.802359433355575,0,0,0,0.743555110837197,0.668674657174835,1.67674282352822
151,1774840119.47371,map,base_footprint,7.55978858041615,0.876955103375071,0,0,0,0.730726691324324,0.682670127210944,1.63877165784908
152,1774840123.55895,map,base_footprint,7.55325352009574,0.944607494709923,0,0,0,0.71624326886294,0.697850685898159,1.59680810039321
153,1774840133.80276,map,base_footprint,7.55154482358708,1.02313033119458,0,0,0,0.690220173349413,0.723599414249007,1.52358656759814
154,1774840136.09971,map,base_footprint,7.55677501485568,1.05000343401971,0,0,0,0.702495997434872,0.711687693857344,1.55779721353028
155,1774840138.48138,map,base_footprint,7.54566173745117,1.1174987763509,0,0,0,0.703156240847023,0.711035372508206,1.55965349429317
156,1774840140.82653,map,base_footprint,7.55593751404398,1.18596253039291,0,0,0,0.701945588203138,0.712230574464584,1.5562510315153
157,1774840143.20303,map,base_footprint,7.54339366023244,1.25976156808133,0,0,0,0.701309817468216,0.712856605442285,1.55446652120124
