idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
146,146.000000000,map3d,camera,1.252629995,-0.035411254,8.269779205,0.011609869814,0.992632169812,0.008184715190,-0.120331196351,3.119882496800,000146,116.503134597
147,147.000000000,map3d,camera,1.238963723,-0.040777903,8.219055176,0.011952407281,0.990511740373,0.008241992640,-0.136659071052,3.119333093186,000147,117.301101273
148,148.000000000,map3d,camera,1.218792200,-0.035458595,8.099372864,0.012583108891,0.985294898403,0.008044947325,-0.170208423337,3.118174892114,000148,118.099067948
149,149.000000000,map3d,camera,1.205112100,-0.026550390,8.014144897,0.011018363557,0.978271387912,0.008398644826,-0.206865052686,3.121814328128,000149,118.897034623
150,150.000000000,map3d,camera,1.178822279,-0.027524270,7.921205521,0.012428046687,0.967059137320,0.008431410553,-0.254108401865,3.118907037050,000150,119.695001299
151,151.000000000,map3d,camera,1.149818420,-0.011076598,7.830234528,0.009435065483,0.949035046096,0.007946362539,-0.314929065256,3.125494284970,000151,120.492967974
152,152.000000000,map3d,camera,1.103677869,-0.017662037,7.765604019,0.010879936891,0.927570097764,0.009776511952,-0.373362773347,3.123724811771,000152,121.290934649
153,153.000000000,map3d,camera,1.075762033,-0.009231734,7.687828541,0.009360551784,0.899551313462,0.008886022656,-0.436624384478,3.126912620289,000153,122.088901325
154,154.000000000,map3d,camera,1.019117713,0.001324631,7.624392986,0.008420032934,0.867596686801,0.008546085575,-0.497123783899,3.129501605215,000154,122.886868000
155,155.000000000,map3d,camera,0.955902815,0.006634953,7.574557781,0.006508703957,0.855014622352,0.008052101133,-0.518500526522,3.135578320568,000155,123.684834675
156,156.000000000,map3d,camera,0.889137924,0.000332121,7.520845413,0.006823349039,0.841082993398,0.008242589378,-0.540800240241,3.135416928341,000156,124.482801351
157,157.000000000,map3d,camera,0.812072754,0.009870279,7.479785919,0.005556712373,0.827121226244,0.007043643503,-0.561951943791,3.138129269746,000157,125.280768026
158,158.000000000,map3d,camera,0.746223986,0.008188020,7.435963631,0.004829627267,0.795805529647,0.006870529698,-0.605494037547,-3.139218364634,000158,126.078734701
159,159.000000000,map3d,camera,0.694441915,0.010620905,7.406886101,0.003865780604,0.751107962756,0.006207618365,-0.660138886523,-3.122992930483,000159,126.876701377
160,160.000000000,map3d,camera,0.632647991,0.013297744,7.382508278,-0.003342576292,-0.700167180636,-0.005502271836,0.713949908151,-0.161686487206,000160,127.674668052
161,161.000000000,map3d,camera,0.571733713,0.007486965,7.370719910,-0.002122308462,-0.663487548460,-0.005650091408,0.748162980448,-0.047144173873,000161,128.472634727
