# timestamp tx ty tz qx qy qz qw
1770106667449367920 -3.388354 0.099247 2.943379 0.002449 -0.693921 0.008736 0.719994
1770106667799419189 -3.363858 0.109743 2.934998 0.003813 -0.679079 0.009084 0.733999
1770106668149561768 -3.359739 0.105804 2.906781 0.004478 -0.656550 0.007334 0.754233
1770106668569076660 -3.352166 0.090285 2.903056 0.005071 -0.640238 0.006157 0.768135
1770106668918707275 -3.315173 0.093666 2.890970 0.004310 -0.621837 0.008235 0.783092
1770106669338220947 -3.310745 0.083335 2.848131 0.001745 -0.600254 0.008736 0.799760
1770106669688125732 -3.421468 0.064211 2.886188 0.000820 -0.580212 0.004728 0.814452
1770106670038097656 -3.482898 0.052443 2.911827 -0.000826 -0.572625 0.004300 0.819806
1770106670457902344 -3.449924 0.060818 2.909913 -0.001817 -0.583997 0.009662 0.811696
1770106670807294922 -3.460987 0.059363 2.924343 -0.003886 -0.602939 0.011795 0.797691
1770106671296488525 -3.578451 0.055841 2.984111 -0.002883 -0.627035 0.008418 0.778940
1770106671645461670 -3.600063 0.050559 3.001583 -0.005523 -0.645572 0.009095 0.763625
1770106671994411621 -3.646533 0.079397 2.979327 -0.007495 -0.663401 0.013110 0.748112
1770106672413078613 -3.687803 0.079768 3.021531 -0.011362 -0.683027 0.015445 0.730142
1770106672761828125 -3.788675 0.052319 3.097003 0.014390 0.709847 -0.013511 -0.704079
1770106673110560059 -3.918258 0.054608 3.160665 0.015162 0.735962 -0.018479 -0.676601
1770106673529182373 -3.825369 0.104777 3.200465 0.017415 0.765714 -0.027695 -0.642348
1770106673877953613 -3.626128 0.112834 3.323798 0.015915 0.788499 -0.032180 -0.613988
1770106674296478760 -3.663662 0.111610 3.338433 0.013931 0.812431 -0.030422 -0.582096
1770106674644991699 -3.681089 0.104343 3.368504 0.013308 0.832489 -0.026353 -0.553254
1770106674993278320 -3.731448 0.103190 3.335054 0.007674 0.834359 -0.022304 -0.550717
1770106675411159180 -3.761479 0.086898 3.306343 0.003010 0.808101 -0.014698 -0.588853
1770106675759215332 -3.802189 0.087061 3.296583 0.003178 0.779260 -0.016547 -0.626474
1770106676176788086 -3.852548 0.062656 3.269661 0.002099 0.733471 -0.012547 -0.679601
1770106676524708008 -3.790480 0.048531 3.221043 0.002738 -0.693682 0.008102 0.720230
1770106676872640137 -3.776489 0.026150 3.175976 0.003875 -0.644319 0.005818 0.764725
1770106677359621582 -3.723532 0.023519 3.175361 0.008257 -0.596661 0.003163 0.802444
1770106677707561279 -3.837757 -0.019614 3.168259 0.011611 -0.549690 0.011750 0.835205
1770106678125068115 -3.908573 -0.015235 3.210659 0.006773 -0.510453 0.012834 0.859783
1770106678472931152 -3.902782 -0.016378 3.224902 0.010665 -0.446927 0.022058 0.894235
